Wavelength (nm),Energy (eV),n,k,e1,e2
310.055695,3.999282,2.078538,0.120636,4.305769,0.501492
311.648438,3.978842,2.075136,0.114786,4.293012,0.476392
313.24118,3.958611,2.071592,0.109273,4.279551,0.452739
314.833954,3.938584,2.067957,0.104112,4.265606,0.4306
316.426727,3.918759,2.064263,0.099291,4.251324,0.409924
318.019501,3.899132,2.060514,0.094766,4.236739,0.390532
319.612305,3.8797,2.05675,0.090544,4.222024,0.372453
321.205109,3.860462,2.052993,0.086611,4.207279,0.355622
322.797913,3.841413,2.04924,0.082932,4.192506,0.339893
324.390686,3.822551,2.045522,0.079507,4.177839,0.325266
325.983521,3.803873,2.041831,0.076304,4.163253,0.311601
327.576355,3.785377,2.0382,0.073329,4.148883,0.298917
329.169189,3.76706,2.034621,0.070552,4.134705,0.287095
330.762024,3.748919,2.031104,0.067966,4.120765,0.276093
332.354858,3.730952,2.027663,0.065562,4.107118,0.265875
333.947693,3.713156,2.024286,0.063317,4.093723,0.256345
335.540558,3.695529,2.020975,0.061222,4.080594,0.247455
337.133392,3.678069,2.017738,0.059267,4.067755,0.239172
338.726257,3.660773,2.014583,0.057449,4.055246,0.231471
340.319092,3.643639,2.011503,0.055752,4.043035,0.22429
341.911957,3.626665,2.008504,0.054172,4.031155,0.217609
343.504822,3.609848,2.005575,0.052694,4.019554,0.211365
345.097687,3.593186,2.002718,0.051314,4.008246,0.205536
346.690552,3.576677,1.999941,0.050029,3.997263,0.200108
348.283386,3.560319,1.997236,0.048827,3.986566,0.195039
349.876282,3.54411,1.994608,0.047708,3.976183,0.190316
351.469147,3.528048,1.992048,0.046661,3.966078,0.185903
353.061981,3.512131,1.989567,0.045687,3.956291,0.181796
354.654846,3.496357,1.987161,0.04478,3.946802,0.177969
356.247742,3.480724,1.984815,0.04393,3.937563,0.174386
357.840576,3.46523,1.982535,0.043136,3.928584,0.171037
359.433411,3.449874,1.980329,0.042397,3.919906,0.167921
361.026306,3.434653,1.978198,0.041711,3.911528,0.165024
362.619141,3.419566,1.976139,0.041071,3.903439,0.162326
364.211975,3.404611,1.974148,0.040474,3.895622,0.159803
365.80484,3.389786,1.972238,0.039911,3.888131,0.157426
367.397675,3.375089,1.9704,0.039361,3.880927,0.155113
368.990509,3.36052,1.968633,0.038825,3.87401,0.152865
370.583313,3.346076,1.966912,0.038297,3.867275,0.150655
372.176147,3.331756,1.965236,0.037779,3.860726,0.148489
373.768982,3.317557,1.963616,0.037274,3.854397,0.146382
375.361786,3.303479,1.962031,0.036776,3.848214,0.144313
376.95459,3.289521,1.960489,0.03629,3.842201,0.142291
378.547394,3.27568,1.958987,0.035813,3.836347,0.140314
380.140198,3.261955,1.957522,0.035346,3.830643,0.138381
381.732971,3.248344,1.956091,0.034888,3.825073,0.136488
383.325745,3.234847,1.954687,0.034437,3.819613,0.134628
384.918518,3.221461,1.953321,0.033998,3.814307,0.132816
386.511261,3.208186,1.951978,0.033564,3.80909,0.131032
388.104004,3.19502,1.950664,0.033139,3.803991,0.129285
389.696747,3.181961,1.949378,0.032722,3.799002,0.127574
391.28949,3.169009,1.948118,0.032313,3.79412,0.125897
392.882202,3.156162,1.946884,0.031911,3.78934,0.124255
394.474915,3.143419,1.945675,0.031517,3.784657,0.122645
396.067596,3.130779,1.944489,0.031131,3.780068,0.121067
397.660278,3.11824,1.943325,0.030751,3.775568,0.119519
399.25296,3.1058,1.942182,0.030378,3.771148,0.117999
400.845612,3.09346,1.941054,0.030009,3.766788,0.1165
402.438232,3.081218,1.939953,0.02965,3.762537,0.115038
404.030884,3.069072,1.938871,0.029296,3.758363,0.113604
405.623474,3.057022,1.937808,0.028949,3.754262,0.112195
407.216095,3.045066,1.936763,0.028607,3.750232,0.110811
408.808655,3.033204,1.935735,0.028272,3.74627,0.109452
410.401276,3.021433,1.934724,0.027941,3.742375,0.108117
411.993805,3.009754,1.93373,0.027617,3.738549,0.106806
413.586334,2.998165,1.932757,0.027299,3.734805,0.105525
415.178864,2.986665,1.931794,0.026985,3.731099,0.104258
416.771393,2.975252,1.930851,0.026677,3.727472,0.10302
418.363861,2.963927,1.929916,0.026373,3.723878,0.101794
419.95636,2.952688,1.929001,0.026075,3.720365,0.100597
421.548767,2.941534,1.928099,0.025781,3.716902,0.099419
423.141205,2.930464,1.92721,0.025492,3.71349,0.098259
424.733643,2.919477,1.926335,0.025208,3.710129,0.097118
426.326019,2.908572,1.925476,0.02493,3.706837,0.096002
427.918396,2.897749,1.924624,0.024653,3.703568,0.094896
429.510803,2.887006,1.923789,0.024383,3.700369,0.093814
431.103119,2.876342,1.922965,0.024116,3.697211,0.092748
432.695404,2.865757,1.922152,0.023853,3.694098,0.091699
434.287689,2.85525,1.921354,0.023596,3.691046,0.090672
435.879974,2.84482,1.920561,0.02334,3.688009,0.089652
437.472229,2.834466,1.919783,0.02309,3.685035,0.088654
439.064453,2.824187,1.919016,0.022843,3.6821,0.087671
440.656677,2.813982,1.918263,0.022601,3.679221,0.086708
442.24884,2.803851,1.917512,0.02236,3.676353,0.08575
443.841003,2.793793,1.916776,0.022124,3.673542,0.084813
445.433167,2.783807,1.916049,0.021891,3.670766,0.083889
447.025238,2.773893,1.915335,0.021663,3.668041,0.082984
448.61734,2.764048,1.914624,0.021436,3.665326,0.082083
450.209381,2.754274,1.913932,0.021215,3.662686,0.081209
451.801422,2.744569,1.913241,0.020995,3.66005,0.080338
453.393402,2.734932,1.912563,0.02078,3.657466,0.079485
454.985413,2.725362,1.911892,0.020566,3.654907,0.078642
456.577332,2.71586,1.911227,0.020355,3.652373,0.077808
458.169281,2.706423,1.910568,0.020147,3.649865,0.076984
459.761169,2.697052,1.909922,0.019943,3.647406,0.076178
461.353027,2.687747,1.909288,0.019742,3.64499,0.075388
462.944885,2.678505,1.908654,0.019543,3.642577,0.0746
464.536713,2.669326,1.908037,0.019348,3.64023,0.073834
466.128479,2.660211,1.907419,0.019154,3.637881,0.07307
467.720215,2.651158,1.906813,0.018964,3.635575,0.07232
469.311951,2.642166,1.906211,0.018775,3.633289,0.071579
470.903656,2.633235,1.90562,0.01859,3.631043,0.070851
472.4953,2.624365,1.905028,0.018405,3.628794,0.070125
474.086914,2.615554,1.904453,0.018226,3.626609,0.069419
475.678528,2.606803,1.903882,0.018048,3.624439,0.068721
477.270111,2.598109,1.903314,0.017871,3.622286,0.068028
478.861633,2.589475,1.902751,0.017696,3.620149,0.067342
480.453125,2.580897,1.902198,0.017524,3.61805,0.06667
482.044586,2.572376,1.901654,0.017356,3.615988,0.066011
483.636047,2.563911,1.901114,0.017189,3.613941,0.065357
485.227386,2.555503,1.900578,0.017023,3.611906,0.064708
486.818787,2.547149,1.90005,0.016861,3.609907,0.064072
488.410095,2.53885,1.899526,0.016699,3.60792,0.063441
490.001404,2.530605,1.899011,0.016541,3.605968,0.062823
491.592621,2.522414,1.898498,0.016384,3.604027,0.062208
493.183899,2.514275,1.897989,0.016227,3.602098,0.061599
494.775055,2.506189,1.897494,0.016076,3.600224,0.061008
496.366211,2.498156,1.896995,0.015924,3.598336,0.060414
497.957275,2.490174,1.896505,0.015774,3.596482,0.059831
499.548401,2.482242,1.896023,0.015627,3.594658,0.059259
501.139404,2.474361,1.895543,0.015481,3.592843,0.058691
502.730377,2.466531,1.895065,0.015336,3.591036,0.058126
504.32135,2.45875,1.894595,0.015194,3.58926,0.057572
505.912262,2.451018,1.894133,0.015054,3.587513,0.057028
507.503113,2.443335,1.893672,0.014915,3.585773,0.056487
509.093933,2.4357,1.893214,0.014776,3.58404,0.055949
510.684753,2.428112,1.892762,0.01464,3.582335,0.055421
512.275513,2.420573,1.892318,0.014507,3.580657,0.054903
513.866211,2.41308,1.891876,0.014374,3.578986,0.054387
515.456909,2.405633,1.89144,0.014243,3.577342,0.05388
517.047485,2.398232,1.891005,0.014113,3.575702,0.053376
518.638062,2.390877,1.890578,0.013985,3.57409,0.052881
520.228638,2.383568,1.890152,0.013858,3.572481,0.052388
521.819092,2.376302,1.889732,0.013733,3.570897,0.051904
523.409546,2.369082,1.889313,0.013608,3.569317,0.051421
524.999939,2.361905,1.8889,0.013486,3.567763,0.050947
526.590332,2.354772,1.888494,0.013366,3.566232,0.050482
528.180603,2.347682,1.888089,0.013246,3.564705,0.050018
529.770874,2.340634,1.88769,0.013128,3.563201,0.049562
531.361145,2.333629,1.887291,0.01301,3.5617,0.049108
532.951294,2.326667,1.886899,0.012894,3.560221,0.048661
534.541382,2.319746,1.886507,0.012779,3.558745,0.048216
536.13147,2.312865,1.886121,0.012666,3.557291,0.047778
537.721558,2.306026,1.88574,0.012554,3.555859,0.047348
539.311523,2.299228,1.88536,0.012443,3.554428,0.046919
540.901489,2.292469,1.88498,0.012332,3.552998,0.046491
542.491333,2.285751,1.884611,0.012224,3.551609,0.046076
544.081177,2.279072,1.884242,0.012117,3.550222,0.045662
545.671021,2.272432,1.883873,0.01201,3.548835,0.045249
547.260681,2.265831,1.88351,0.011904,3.547467,0.044843
548.850403,2.259268,1.883151,0.0118,3.54612,0.044443
550.440063,2.252743,1.882798,0.011698,3.544792,0.04405
552.029663,2.246256,1.882445,0.011596,3.543465,0.043658
553.619141,2.239807,1.882092,0.011494,3.542136,0.043266
555.208618,2.233395,1.881748,0.011395,3.540845,0.042886
556.798035,2.227019,1.881404,0.011297,3.539555,0.042507
558.387451,2.22068,1.88106,0.011198,3.538263,0.042128
559.976746,2.214378,1.880721,0.011101,3.536989,0.041754
561.56604,2.208111,1.880387,0.011005,3.535733,0.041387
563.155212,2.20188,1.880057,0.010911,3.534493,0.041026
564.744385,2.195684,1.879727,0.010817,3.533255,0.040665
566.333496,2.189523,1.879396,0.010723,3.532013,0.040304
567.922546,2.183396,1.879074,0.010631,3.530805,0.039954
569.511536,2.177305,1.878752,0.01054,3.529598,0.039604
571.100464,2.171247,1.878434,0.01045,3.528405,0.039259
572.689331,2.165223,1.878116,0.01036,3.527212,0.038915
574.278198,2.159232,1.877802,0.010272,3.526033,0.038576
575.866943,2.153275,1.877491,0.010184,3.52487,0.038242
577.455688,2.147351,1.877181,0.010097,3.523706,0.037908
579.044312,2.14146,1.876874,0.010011,3.522555,0.037578
580.632874,2.135601,1.876571,0.009926,3.521421,0.037254
582.221375,2.129774,1.876268,0.009841,3.520284,0.03693
583.809875,2.123979,1.875972,0.009759,3.519177,0.036614
585.398315,2.118216,1.875673,0.009675,3.518054,0.036295
586.986633,2.112484,1.87538,0.009594,3.516958,0.035984
588.57489,2.106784,1.875087,0.009513,3.515862,0.035674
590.163147,2.101114,1.874798,0.009432,3.514778,0.035368
591.751343,2.095475,1.874508,0.009352,3.513692,0.035062
593.339417,2.089866,1.874221,0.009273,3.512617,0.034759
594.927429,2.084288,1.873937,0.009195,3.511557,0.034462
596.515442,2.078739,1.873658,0.009118,3.51051,0.034168
598.103394,2.07322,1.873377,0.009041,3.509461,0.033875
599.691223,2.067731,1.8731,0.008965,3.508422,0.033585
601.278992,2.062271,1.872826,0.00889,3.507397,0.033299
602.866699,2.056839,1.872555,0.008816,3.506385,0.033017
604.454407,2.051437,1.872284,0.008742,3.50537,0.032736
606.041931,2.046063,1.872015,0.008669,3.504365,0.032458
607.629517,2.040717,1.871745,0.008596,3.503357,0.032179
609.216919,2.0354,1.871479,0.008524,3.502359,0.031904
610.804321,2.03011,1.871215,0.008452,3.501374,0.031632
612.391663,2.024848,1.870954,0.008382,3.5004,0.031365
613.978943,2.019613,1.870697,0.008313,3.499439,0.031101
615.566101,2.014406,1.870439,0.008243,3.498474,0.030837
617.153259,2.009225,1.870183,0.008175,3.497519,0.030576
618.740295,2.004072,1.869931,0.008107,3.496574,0.030319
620.327271,1.998945,1.869677,0.008039,3.495627,0.030061
621.914185,1.993844,1.869425,0.007972,3.494688,0.029806
623.501099,1.98877,1.869177,0.007906,3.49376,0.029555
625.08783,1.983721,1.868927,0.00784,3.492829,0.029303
626.674561,1.978698,1.868684,0.007775,3.491919,0.029058
628.261169,1.973701,1.868441,0.00771,3.491011,0.028813
629.847778,1.96873,1.868199,0.007647,3.490108,0.028571
631.434204,1.963783,1.867956,0.007583,3.489203,0.028328
633.02063,1.958862,1.867719,0.00752,3.488319,0.028092
634.606995,1.953965,1.867482,0.007458,3.487435,0.027856
636.193237,1.949093,1.867247,0.007396,3.486557,0.027622
637.779419,1.944246,1.867011,0.007335,3.485676,0.027388
639.365601,1.939422,1.86678,0.007274,3.484815,0.027159
640.95166,1.934623,1.866549,0.007214,3.483954,0.026932
642.537659,1.929848,1.86632,0.007155,3.483099,0.026706
644.123535,1.925097,1.86609,0.007095,3.482241,0.02648
645.709351,1.920369,1.865864,0.007037,3.4814,0.026259
647.295105,1.915664,1.865639,0.006979,3.480562,0.026039
648.880737,1.910983,1.865416,0.006921,3.479728,0.025821
650.46637,1.906325,1.865191,0.006863,3.47889,0.025602
652.05188,1.901689,1.864971,0.006807,3.478071,0.025388
653.637329,1.897076,1.864751,0.00675,3.477252,0.025176
655.222717,1.892486,1.864533,0.006695,3.476438,0.024964
656.807983,1.887918,1.864317,0.006639,3.475633,0.024756
658.393188,1.883373,1.8641,0.006584,3.474824,0.024547
659.978333,1.87885,1.863887,0.00653,3.474032,0.024343
661.563354,1.874348,1.863675,0.006476,3.473241,0.02414
663.148315,1.869868,1.863463,0.006423,3.472454,0.023938
664.733276,1.86541,1.863251,0.006369,3.471663,0.023736
666.318054,1.860973,1.863043,0.006317,3.470888,0.023538
667.902771,1.856558,1.862835,0.006265,3.470114,0.023341
669.487427,1.852163,1.862628,0.006213,3.469344,0.023145
671.07196,1.84779,1.862423,0.006162,3.468582,0.022952
672.656433,1.843437,1.86222,0.006111,3.467828,0.022761
674.240845,1.839105,1.862017,0.006061,3.46707,0.02257
675.825195,1.834794,1.861814,0.00601,3.466315,0.02238
677.409424,1.830503,1.861613,0.00596,3.465567,0.022192
678.99353,1.826232,1.861414,0.005911,3.464828,0.022007
680.577637,1.821982,1.861218,0.005863,3.464097,0.021824
682.16156,1.817751,1.86102,0.005814,3.463362,0.021641
683.745483,1.81354,1.860823,0.005766,3.462629,0.021459
685.329285,1.809349,1.860628,0.005718,3.461903,0.021279
686.913025,1.805178,1.860435,0.005671,3.461185,0.021101
688.496643,1.801026,1.860244,0.005624,3.460474,0.020925
690.0802,1.796893,1.860051,0.005578,3.45976,0.02075
691.663696,1.792779,1.859863,0.005532,3.459058,0.020577
693.247009,1.788684,1.859674,0.005486,3.458359,0.020406
694.830322,1.784608,1.859484,0.00544,3.45765,0.020232
696.413513,1.780551,1.859296,0.005395,3.456952,0.020062
697.996643,1.776513,1.859112,0.005351,3.456267,0.019896
699.579651,1.772493,1.858927,0.005307,3.45558,0.019729
701.162537,1.768492,1.858742,0.005262,3.454892,0.019563
702.745422,1.764508,1.858558,0.005219,3.454212,0.019399
704.328125,1.760543,1.858377,0.005176,3.453538,0.019236
705.910767,1.756596,1.858195,0.005132,3.452861,0.019074
707.493347,1.752667,1.858015,0.00509,3.452193,0.018914
709.075806,1.748755,1.857836,0.005048,3.45153,0.018756
710.658203,1.744861,1.857657,0.005006,3.450866,0.018597
712.24054,1.740985,1.85748,0.004964,3.450208,0.018441
713.822693,1.737126,1.857305,0.004923,3.449557,0.018287
715.404785,1.733284,1.857129,0.004882,3.448903,0.018132
716.986816,1.72946,1.856952,0.004841,3.448247,0.017978
718.568726,1.725653,1.85678,0.004801,3.447608,0.017827
720.150513,1.721862,1.856609,0.004761,3.446973,0.017678
721.7323,1.718089,1.856434,0.004721,3.446326,0.017527
723.313904,1.714332,1.856262,0.004681,3.445688,0.017379
724.895386,1.710592,1.856094,0.004642,3.445064,0.017233
726.476868,1.706868,1.855925,0.004604,3.444436,0.017088
728.058228,1.703161,1.855755,0.004565,3.443807,0.016942
729.639465,1.699469,1.855587,0.004527,3.443184,0.016799
731.220581,1.695795,1.855421,0.004489,3.442566,0.016657
732.801636,1.692136,1.855256,0.004451,3.441954,0.016516
734.382568,1.688493,1.85509,0.004414,3.441339,0.016376
735.96344,1.684866,1.854923,0.004376,3.440722,0.016235
737.544189,1.681255,1.854761,0.00434,3.440119,0.016098
739.124878,1.67766,1.8546,0.004304,3.439522,0.015963
740.705383,1.67408,1.854438,0.004267,3.438922,0.015827
742.285828,1.670516,1.854275,0.004231,3.438319,0.015691
743.866211,1.666966,1.854114,0.004195,3.437721,0.015557
745.446411,1.663433,1.853954,0.00416,3.437129,0.015424
747.02655,1.659914,1.853796,0.004125,3.436542,0.015293
748.606628,1.656411,1.853639,0.00409,3.43596,0.015163
750.186584,1.652922,1.853481,0.004055,3.435376,0.015034
751.766418,1.649449,1.853325,0.004021,3.434797,0.014905
753.34613,1.64599,1.853168,0.003987,3.434215,0.014777
754.925781,1.642546,1.853012,0.003953,3.433637,0.014649
756.50531,1.639116,1.852857,0.003919,3.433066,0.014524
758.084717,1.635701,1.852702,0.003886,3.43249,0.014398
759.664063,1.6323,1.852548,0.003852,3.43192,0.014274
761.243286,1.628914,1.852395,0.00382,3.431354,0.014151
762.822388,1.625542,1.852244,0.003787,3.430794,0.014029
764.401367,1.622184,1.852094,0.003755,3.430238,0.013909
765.980286,1.618841,1.851943,0.003723,3.429681,0.013789
767.559082,1.615511,1.851793,0.003691,3.429125,0.01367
769.137756,1.612195,1.851645,0.00366,3.428577,0.013552
770.71637,1.608893,1.851496,0.003628,3.428024,0.013434
772.2948,1.605604,1.851348,0.003597,3.427476,0.013318
773.873169,1.60233,1.851201,0.003566,3.426933,0.013202
775.451416,1.599069,1.851056,0.003535,3.426394,0.013088
777.029541,1.595821,1.850909,0.003505,3.425853,0.012974
778.607544,1.592587,1.850764,0.003474,3.425313,0.012861
780.185486,1.589366,1.85062,0.003445,3.424782,0.01275
781.763306,1.586158,1.850475,0.003415,3.424245,0.012637
783.341003,1.582963,1.850331,0.003385,3.423712,0.012527
784.918579,1.579782,1.850188,0.003356,3.423184,0.012417
786.496094,1.576613,1.850046,0.003327,3.42266,0.012309
788.073425,1.573457,1.849906,0.003298,3.42214,0.012202
789.650696,1.570315,1.849765,0.003269,3.42162,0.012095
791.227844,1.567184,1.849622,0.00324,3.421092,0.011987
